또 녹음하는 거	또|녹.음.하.는|거
하나 둘 하나 	하.나|둘|하.나.|
용화네는 온 가족이 모여 아침 체조를 했어	용.화.네.는|온|가.족.이|모.여|아.침|체.조.를|했.어
아이 졸려 난 더 잘	아.이|졸.려|난|더|잘
빨리 일어나 또 매 맞고 싶	빨.리|일.어.나|또|매|맞.고|싶
난 체조 같은 것 싫	난|체.조|같.은|것|싫
이거 누가 얘기	이.거|누.가|얘.기
연우가 얘기	연.우.가|얘.기
영화네 식구들은 이불 속에서 투덜투덜 거렸어	영.화.네|식.구.들.은|이.불|속.에.서|투.덜.투.덜|거.렸.어
투덜투	투.덜.투
투덜투	투.덜.투
꽃밭에 꽃들이 활짝 피어났어	꽃.밭.에|꽃.들.이|활.짝|피.어.났.어
어머나 예쁘기도 해	어.머.나|예.쁘.기.도|해
용화네는 꽃들과 인사하면서 뽀뽀도 했어	용.화.네.는|꽃.들.과|인.사.하.면.서|뽀.뽀.도|했.어
뽀뽀 어떻게 해 	뽀.뽀|어.떻.게|해.|
뽀	뽀
이게 뽀뽀	이.게|뽀.뽀
용화는 친구들과 인사도 하면서 뽀뽀도 했어	용.화.는|친.구.들.과|인.사.도|하.면.서|뽀.뽀.도|했.어
영화네는 눈길도 마주치지 않았어	영.화.네.는|눈.길.도|마.주.치.지|않.았.어
쳇 그까짓 	쳇|그.까.짓.|
햇님이 반짝 얼굴을 내밀었어	햇.님.이|반.짝|얼.굴.을|내.밀.었.어
반짝반	반.짝.반
용화네는 모두 나와서 청소를 합니	용.화.네.는|모.두|나.와.서|청.소.를|합.니
방도 깨끗 마루도 깨	방.도|깨.끗|마.루.도|깨
반짝반	반.짝.반
빨랫줄에는 빨래들이 너울너울 춤을 추었어	빨.랫.줄.에.는|빨.래.들.이|너.울.너.울|춤.을|추.었.어
영화 어서 방 청소좀 하	영.화|어.서|방|청.소.좀|하
싫	싫
엄마는 나만 시	엄.마.는|나.만|시
아이고 지긋지긋 말도 안 들	아.이.고|지.긋.지.긋|말.도|안|들
아니 집이 왜 이렇게 지저분	아.니|집.이|왜|이.렇.게|지.저.분
외출했다 돌아온 아빠는 꽥 소리를 지릅니	외.출.했.다|돌.아.온|아.빠.는|꽥|소.리.를|지.릅.니
응 버	응|버
여름 휴가를 떠나는 날이에	여.름|휴.가.를|떠.나.는|날.이.에
두 가족은 아침 일찍 떠나기로 했습니	두|가.족.은|아.침|일.찍|떠.나.기.로|했.습.니
용화네는 여행 준비를 마치고 차에 올랐어	용.화.네.는|여.행|준.비.를|마.치.고|차.에|올.랐.어
짐도 미리미리 챙겨 놓았지	짐.도|미.리.미.리|챙.겨|놓.았.지
영화네는 한참 뒤에 헐레벌떡 나왔어	영.화.네.는|한.참|뒤.에|헐.레.벌.떡|나.왔.어
아차 지갑을 안 가지고 왔	아.차|지.갑.을|안|가.지.고|왔
영화 아빠가 집으로 되돌아 갔어	영.화|아.빠.가|집.으.로|되.돌.아|갔.어
어머나 내 모자 잠깐만 줘 보세	어.머.나|내|모.자|잠.깐.만|줘|보.세
여보세	여.보.세
자 예주 일로 오세	자|예.주|일.로|오.세
모자가 날라갔어	모.자.가|날.라.갔.어
응 모자 슝 날아갔어	응|모.자|슝|날.아.갔.어
엄마 내 물안경도	엄.마|내|물.안.경.도
이윽고 두 가족은 차를 타고 출발했어	이.윽.고|두|가.족.은|차.를|타.고|출.발.했.어
아니야 자동	아.니.야|자.동
응 자동	응|자.동
응 하나 	응|하.나.|
얘들아 저기 들판을 좀 	얘.들.아|저.기|들.판.을|좀.|
백로가 한 발로 서 있구	백.로.가|한|발.로|서|있.구
어머나 정말로 신기하네	어.머.나|정.말.로|신.기.하.네
용화네는 신이 나 룰루랄라 노래를 불렀어	용.화.네.는|신.이|나|룰.루.랄.라|노.래.를|불.렀.어
어휴 이 차들 좀 	어.휴|이|차.들|좀.|
기름 한 방울도 안 나는 나라에서 너도 나도 차를 끌고 나오다	기.름|한|방.울.도|안|나.는|나.라.에.서|너.도|나.도|차.를|끌.고|나.오.다
그러게 말이에요 말세야 말세	그.러.게|말.이.에.요|말.세.야|말.세
어이구 짜증	어.이.구|짜.증
이러다가 길에서 날 새겠	이.러.다.가|길.에.서|날|새.겠
영화네는 또 투덜투덜 불평을 쏟아 내었어	영.화.네.는|또|투.덜.투.덜|불.평.을|쏟.아|내.었.어
추석이 되었어	추.석.이|되.었.어
음식을 만드느라 집안이 분주했어	음.식.을|만.드.느.라|집.안.이|분.주.했.어
쨍그	쨍.그
유리 깨지는 소리가 났어	유.리|깨.지.는|소.리.가|났.어
아이코 이 말썽쟁이 물컵을 깨트리면 어떻게 	아.이.코|이|말.썽.쟁.이|물.컵.을|깨.트.리.면|어.떻.게.|
엄마가 엄마가 물기를 깨끗히 안 닦아서 그러잖아	엄.마.가|엄.마.가|물.기.를|깨.끗.히|안|닦.아.서|그.러.잖.아
영화가 엄마에게 대들었어	영.화.가|엄.마.에.게|대.들.었.어
쨍그	쨍.그
용화가 접시를 떨어트렸어	용.화.가|접.시.를|떨.어.트.렸.어
용화 다친 데 없	용.화|다.친|데|없
엄마가 놀라서 물었어	엄.마.가|놀.라.서|물.었.어
내가 물기를 닦아 놓는다는 것이 그	내.가|물.기.를|닦.아|놓.는.다.는|것.이|그
아니에요 엄마 제 잘못이에	아.니.에.요|엄.마|제|잘.못.이.에
언니가 어떻게 했어 그	언.니.가|어.떻.게|했.어|그
쨍그랑 깨트렸	쨍.그.랑|깨.트.렸
그러면 손 조심해야 하는데 이렇게 깨트리면 손이 벨 수 있잖	그.러.면|손|조.심.해.야|하.는.데|이.렇.게|깨.트.리.면|손.이|벨|수|있.잖
다칠 수가 있잖	다.칠|수.가|있.잖
그렇	그.렇
그래서 엄마가 이렇게 위험하다 하면 만지는 것이 아니	그.래.서|엄.마.가|이.렇.게|위.험.하.다|하.면|만.지.는|것.이|아.니
네 해야	네|해.야
크게 해야	크.게|해.야
용화는 얼른 깨트린 접시 조각을 주었어	용.화.는|얼.른|깨.트.린|접.시|조.각.을|주.었.어
그러자 엄마가 손을 저으면서 말했어	그.러.자|엄.마.가|손.을|저.으.면.서|말.했.어
아니야 아니야 이건 엄마가 할	아.니.야|아.니.야|이.건|엄.마.가|할
엄마가 등을 툭툭 쳐 주면서 안심시켰어	엄.마.가|등.을|툭.툭|쳐|주.면.서|안.심.시.켰.어
영화와 엄마는 서로 꼭 껴앉고 환하게 웃었습니	영.화.와|엄.마.는|서.로|꼭|껴.앉.고|환.하.게|웃.었.습.니
환하게 웃었	환.하.게|웃.었
예주도 엄마 껴앉고 환화게 웃어야	예.주.도|엄.마|껴.앉.고|환.화.게|웃.어.야
어 해야	어|해.야
여기도 용화도 했잖	여.기.도|용.화.도|했.잖
읽어 	읽.어.|
자 착한 어린이는 어떤 어린이인가	자|착.한|어.린.이.는|어.떤|어.린.이.인.가
이 언니는 요런 휴지같은 것 쓰레기 통에 넣었	이|언.니.는|요.런|휴.지.같.은|것|쓰.레.기|통.에|넣.었
착할까 안 착할	착.할.까|안|착.할
아니	아.니
착한 언니	착.한|언.니
이 오빠는 책을 갖다가 딱지 접었	이|오.빠.는|책.을|갖.다.가|딱.지|접.었
착한 어린이일까 안 착한 어린이일	착.한|어.린.이.일.까|안|착.한|어.린.이.일
못된 오빠야 못된 오	못.된|오.빠.야|못.된|오
이렇게 책 접어서 딱지 접으면 절대 안 되는 거	이.렇.게|책|접.어.서|딱.지|접.으.면|절.대|안|되.는|거
자 이 우체부 아저씨가 뭘 떨어뜨려서 주워서 주었	자|이|우.체.부|아.저.씨.가|뭘|떨.어.뜨.려.서|주.워.서|주.었
이 언니는 착한 언니	이|언.니.는|착.한|언.니
자 남의 친구 것 돈 빼았가서 아이스크림 사 먹은 오빠 나쁜 오빠	자|남.의|친.구|것|돈|빼.았.가.서|아.이.스.크.림|사|먹.은|오.빠|나.쁜|오.빠
자 꽃을 이렇게 꺾었	자|꽃.을|이.렇.게|꺾.었
예주가 볼 때에 어	예.주.가|볼|때.에|어
안 되는 거	안|되.는|거
꽃을 똑똑똑똑 이렇게 꺾으면 나쁜 거	꽃.을|똑.똑.똑.똑|이.렇.게|꺾.으.면|나.쁜|거
응 나	응|나
안 되는 거야 	안|되.는|거.야.|
응 자전거가 있	응|자.전.거.가|있
이 언니가 밥을 먹으려고 해	이|언.니.가|밥.을|먹.으.려.고|해
밥 먹을 때 이 언니가 먹으려니까 뭐가 없	밥|먹.을|때|이|언.니.가|먹.으.려.니.까|뭐.가|없
수저하고 저는 어떤 걸	수.저.하.고|저.는|어.떤|걸
수저하고 젓가락 어떤 거	수.저.하.고|젓.가.락|어.떤|거
여기 중에서 찾아 보세	여.기|중.에.서|찾.아|보.세
응 여기 있	응|여.기|있
어휴 더	어.휴|더
햇님이 쨍쩅 빛나	햇.님.이|쨍.쩅|빛.나
어 이 때 필요한 건 뭘	어|이|때|필.요.한|건|뭘
어떤 게 요 중에서 필요하면 시원하게 될	어.떤|게|요|중.에.서|필.요.하.면|시.원.하.게|될
선풍기가 어떤 거	선.풍.기.가|어.떤|거
그렇	그.렇
이 선풍기하고 부채만 있으면 덥지 않겠	이|선.풍.기.하.고|부.채.만|있.으.면|덥.지|않.겠
자 물을 흘렸	자|물.을|흘.렸
물을 흘렸을 때에 필요한 게 뭘 것 같애 예주	물.을|흘.렸.을|때.에|필.요.한|게|뭘|것|같.애|예.주
휴지 그렇	휴.지|그.렇
휴지 어떤 거	휴.지|어.떤|거
그렇	그.렇
휴지 필요하	휴.지|필.요.하
자 오늘 한 지붕 세 가족에 대해서 읽었어	자|오.늘|한|지.붕|세|가.족.에|대.해.서|읽.었.어
자 오늘 책 안	자|오.늘|책|안
또 내일 보	또|내.일|보
빠이빠이 해 줘야	빠.이.빠.이|해|줘.야
예주는 어떤 책 읽을 거에	예.주.는|어.떤|책|읽.을|거.에
어 어디갔	어|어.디.갔
응 예주 무슨 책 읽을 거	응|예.주|무.슨|책|읽.을|거
어떤 	어.떤.|
어 아풍이 	어|아.풍.이.|
고양	고.양
아니	아.니
왜 아풍이가 없	왜|아.풍.이.가|없
여기 있겠	여.기|있.겠
여기 있잖	여.기|있.잖
고양	고.양
그	그
이게 뭐	이.게|뭐
이건 뭐	이.건|뭐
이거	이.거
임금	임.금
산보다 호수가 많고 호수보다 새가 많고 새보다 동물이 많고 동물보다 나무가 더 많은 나라가 있었어	산.보.다|호.수.가|많.고|호.수.보.다|새.가|많.고|새.보.다|동.물.이|많.고|동.물.보.다|나.무.가|더|많.은|나.라.가|있.었.어
이게 뭐야 예주	이.게|뭐.야|예.주
나	나
나무보다 더 많은 게 뭘	나.무.보.다|더|많.은|게|뭘
임금님은 곰곰이 생각했어	임.금.님.은|곰.곰.이|생.각.했.어
응 이걸 나무라고 하는 거	응|이.걸|나.무.라.고|하.는|거
옳거니 그것은 바로 꽃이야 	옳.거.니|그.것.은|바.로|꽃.이.야.|
요기 꽃 필려고 그	요.기|꽃|필.려.고|그
임금님은 무릎을 딱 쳤습니	임.금.님.은|무.릎.을|딱|쳤.습.니
임금님은 나무보다 꽃이 더 많은 나라를 만들고 싶었어	임.금.님.은|나.무.보.다|꽃.이|더|많.은|나.라.를|만.들.고|싶.었.어
여봐라 왕자들을 불러	여.봐.라|왕.자.들.을|불.러
임금님이 명령을 내렸어	임.금.님.이|명.령.을|내.렸.어
이럇 이럇 어서 가	이.럇|이.럇|어.서|가
임금님에게는 세 명의 왕자가 있었습니	임.금.님.에.게.는|세|명.의|왕.자.가|있.었.습.니
엄마 이렇게 하면 안 읽을	엄.마|이.렇.게|하.면|안|읽.을
예주	예.주
임금님은 첫째 왕자를 매우 귀여워했어	임.금.님.은|첫.째|왕.자.를|매.우|귀.여.워.했.어
첫째 왕	첫.째|왕
귀엽	귀.엽
아이 예뻐 해 	아.이|예.뻐|해.|
마음씨도 착하고 얼굴도 잘 생겼거든	마.음.씨.도|착.하.고|얼.굴.도|잘|생.겼.거.든
게다가 늘 공부를 열심히 했기 때문이지	게.다.가|늘|공.부.를|열.심.히|했.기|때.문.이.지
둘째 왕자는 운동도 잘하고 일도 잘 했어	둘.째|왕.자.는|운.동.도|잘.하.고|일.도|잘|했.어
늘씬한 키에 목소리도 우렁찼지	늘.씬.한|키.에|목.소.리.도|우.렁.찼.지
그가 말을 하면 모두들 고개를 끄떡이며 감동했습니	그.가|말.을|하.면|모.두.들|고.개.를|끄.떡.이.며|감.동.했.습.니
임금님도 믿음직스럽다고 칭찬했어	임.금.님.도|믿.음.직.스.럽.다.고|칭.찬.했.어
고양이네 고양	고.양.이.네|고.양
고양이가 어떻게 뛰어	고.양.이.가|어.떻.게|뛰.어
고양이가 어떻게 	고.양.이.가|어.떻.게.|
고양이가 안녕 하	고.양.이.가|안.녕|하
응 예주도 안	응|예.주.도|안
고양이가 어떻게 	고.양.이.가|어.떻.게.|
앞으로 펄쩍펄쩍 뛰어가	앞.으.로|펄.쩍.펄.쩍|뛰.어.가
일로 와 해	일.로|와|해
예주하고도 같이 놀	예.주.하.고.도|같.이|놀
셋째 왕자는 개구쟁이였습니	셋.째|왕.자.는|개.구.쟁.이.였.습.니
매일 창 밖으로 나가 놀기만 했어	매.일|창|밖.으.로|나.가|놀.기.만|했.어
흙투성이고 무릎이 성할 날이 없었지	흙.투.성.이.고|무.릎.이|성.할|날.이|없.었.지
임금님은 셋째 왕자를 몹시 걱정했습니	임.금.님.은|셋.째|왕.자.를|몹.시|걱.정.했.습.니
왕자들이 임금님에게로 달려 왔습니	왕.자.들.이|임.금.님.에.게.로|달.려|왔.습.니
너희들에게 한 가지 일을 맡기겠	너.희.들.에.게|한|가.지|일.을|맡.기.겠
임금님이 자루를 한 자루씩 주면서 말했어	임.금.님.이|자.루.를|한|자.루.씩|주.면.서|말.했.어
이것은 아주 중요한 꽃이란	이.것.은|아.주|중.요.한|꽃.이.란
그러니 삼년 뒤에 꼭 가져 오도록 해	그.러.니|삼.년|뒤.에|꼭|가.져|오.도.록|해
어느덧 삼년의 시간이 지나갔어	어.느.덧|삼.년.의|시.간.이|지.나.갔.어
첫째 왕자가 공손히 자루를 내 놓았습니	첫.째|왕.자.가|공.손.히|자.루.를|내|놓.았.습.니
귀한 꽃이라서 금고에 보관했다가 가지고 왔어	귀.한|꽃.이.라.서|금.고.에|보.관.했.다.가|가.지.고|왔.어
자루 속에는 바짝 말라버린 꽃씨가 들어 있었어	자.루|속.에.는|바.짝|말.라.버.린|꽃.씨.가|들.어|있.었.어
임금님은 얼굴을 찌뿌렸습니	임.금.님.은|얼.굴.을|찌.뿌.렸.습.니
이번에는 둘째 왕자가 자루를 다섯 개나 들고 왔습니	이.번.에.는|둘.째|왕.자.가|자.루.를|다.섯|개.나|들.고|왔.습.니
저는 아바마마께서 주신 꽃을 팔았습니	저.는|아.바.마.마.께.서|주.신|꽃.을|팔.았.습.니
그래서 번 돈으로 더 많은 꽃씨를 사 왔습니	그.래.서|번|돈.으.로|더|많.은|꽃.씨.를|사|왔.습.니
신하들은 신하들은 놀라 눈이 동그래졌습니	신.하.들.은|신.하.들.은|놀.라|눈.이|동.그.래.졌.습.니
하지만 임금님의 얼굴에는 조금도 기쁨이 없었어	하.지.만|임.금.님.의|얼.굴.에.는|조.금.도|기.쁨.이|없.었.어
마지막으로 세번째 왕자가 임금님 앞으로 나왔습니	마.지.막.으.로|세.번.째|왕.자.가|임.금.님|앞.으.로|나.왔.습.니
어라 임금님과 신하들의 눈이 휘둥그래졌어	어.라|임.금.님.과|신.하.들.의|눈.이|휘.둥.그.래.졌.어
왕자가 빈 손으로 덜렁덜렁 걸어 나오지 뭐에	왕.자.가|빈|손.으.로|덜.렁.덜.렁|걸.어|나.오.지|뭐.에
우와 꽃 있	우.와|꽃|있
예주	예.주
아니 넌 왜 빈 손이	아.니|넌|왜|빈|손.이
아바마마 제가 손수 밖으로 모시겠습니	아.바.마.마|제.가|손.수|밖.으.로|모.시.겠.습.니
셋째 왕자는 임금님을 모시고 밖으로 나왔습니	셋.째|왕.자.는|임.금.님.을|모.시.고|밖.으.로|나.왔.습.니
성 안 온통 곳곳이 예쁜 꽃들로 가득 차 있었어	성|안|온.통|곳.곳.이|예.쁜|꽃.들.로|가.득|차|있.었.어
성 밖의 들판에도 울긋불긋 꽃들이 피었어	성|밖.의|들.판.에.도|울.긋.불.긋|꽃.들.이|피.었.어
성에서 먼 곳으로 나왔어	성.에.서|먼|곳.으.로|나.왔.어
집집마다 예쁜 꽃들이 활짝 피어 있었습니	집.집.마.다|예.쁜|꽃.들.이|활.짝|피.어|있.었.습.니
이 꽃들이 삼년 전에 저에게 주신 꽃들입니	이|꽃.들.이|삼.년|전.에|저.에.게|주.신|꽃.들.입.니
오 이제 나무보다 꽃이 더 많은 나라가 되었구	오|이.제|나.무.보.다|꽃.이|더|많.은|나.라.가|되.었.구
임금님의 얼굴이 활짝 펴졌습니	임.금.님.의|얼.굴.이|활.짝|펴.졌.습.니
네가 바로 이 나라를 다스릴 왕자로구	네.가|바.로|이|나.라.를|다.스.릴|왕.자.로.구
임금님은 셋째 왕자를 꼭 껴안았습니	임.금.님.은|셋.째|왕.자.를|꼭|껴.안.았.습.니
셋째 왕자의 얼굴도 꽃처럼 활짝 피어났습니	셋.째|왕.자.의|얼.굴.도|꽃.처.럼|활.짝|피.어.났.습.니
예주야 이게 뭐	예.주.야|이.게|뭐
동화	동.화
모	모
모	모
모	모
아니 또따 아니	아.니|또.따|아.니
응 참	응|참
강아	강.아
이건 뭐	이.건|뭐
꿀꿀꿀꿀 돼	꿀.꿀.꿀.꿀|돼
얘는 해바라	얘.는|해.바.라
알았	알.았
얘는 	얘.는.|
자 자동	자|자.동
얘는 	얘.는.|
슈웅 하는게 비행	슈.웅|하.는.게|비.행
얘는 	얘.는.|
응 나	응|나
얘는 	얘.는.|
예빈이 잠깐 갖고 와봐	예.빈.이|잠.깐|갖.고|와.봐
왜 다 읽었	왜|다|읽.었
너 여기부터 끝까지 다 읽었다	너|여.기.부.터|끝.까.지|다|읽.었.다
여기서부터 벌써 다 읽었	여.기.서.부.터|벌.써|다|읽.었
진짜	진.짜
예빈이 여기 앉아	예.빈.이|여.기|앉.아
이거 이렇게 이거 너 그럼 처음부터 다시 읽어 큰 소리	이.거|이.렇.게|이.거|너|그.럼|처.음.부.터|다.시|읽.어|큰|소.리
아이 창피	아.이|창.피
요 책까지만 오늘은 읽	요|책.까.지.만|오.늘.은|읽
훈이는 로봇을 좋아해	훈.이.는|로.봇.을|좋.아.해
하루 종일 로봇과 친구처럼 지내지	하.루|종.일|로.봇.과|친.구.처.럼|지.내.지
예주도 로봇 좋아	예.주.도|로.봇|좋.아
예주는 여기 곰돌이 인형 좋아하지 않	예.주.는|여.기|곰.돌.이|인.형|좋.아.하.지|않
얘는 뭐	얘.는|뭐
기	기
얘는 로보	얘.는|로.보
훈이는 로봇과 이야기 하기도 해	훈.이.는|로.봇.과|이.야.기|하.기.도|해
언제나 듣기만 하고 대답은 안 해	언.제.나|듣.기.만|하.고|대.답.은|안|해
로봇은 울지도 않고 웃지도 않아	로.봇.은|울.지.도|않.고|웃.지.도|않.아
어떻게 해 예주	어.떻.게|해|예.주
이거 예주가 찢었잖	이.거|예.주.가|찢.었.잖
있다 물어	있.다|물.어
엄마 말하는 로봇 사주세요 	엄.마|말.하.는|로.봇|사.주.세.요.|
훈이는 엄마를 자꾸만 졸랐어	훈.이.는|엄.마.를|자.꾸.만|졸.랐.어
아유 정말 못 견디겠	아.유|정.말|못|견.디.겠
엄마는 훈이를 로봇 가게로 데려갔어	엄.마.는|훈.이.를|로.봇|가.게.로|데.려.갔.어
군인 로	군.인|로
경찰 로	경.찰|로
의사 로	의.사|로
로봇들이 훈이를 쳐다 보았어	로.봇.들.이|훈.이.를|쳐.다|보.았.어
되게 많	되.게|많
우와 이것 되게 참 신기한	우.와|이.것|되.게|참|신.기.한
훈이랑 똑닮은 로봇이 있었어	훈.이.랑|똑.닮.은|로.봇.이|있.었.어
훈이는 얼른 그리로 뛰어갔어	훈.이.는|얼.른|그.리.로|뛰.어.갔.어
안녕 반가워 나 훈이	안.녕|반.가.워|나|훈.이
나도 반가	나.도|반.가
물 	물.|
예빈이 뭐 물어 볼려	예.빈.이|뭐|물.어|볼.려
다 처음부터 끝까지 읽	다|처.음.부.터|끝.까.지|읽
됐어 주세요 엄	됐.어|주.세.요|엄
엄마 훈이를 닮은 로봇을 사 주었어	엄.마|훈.이.를|닮.은|로.봇.을|사|주.었.어
자 나랑 같이 우리 집에 가	자|나.랑|같.이|우.리|집.에|가
좋아 앞으로 잘 지내보	좋.아|앞.으.로|잘|지.내.보
생김새도 말하는 모습도 꼭 훈이를 닮았어	생.김.새.도|말.하.는|모.습.도|꼭|훈.이.를|닮.았.어
훈이는 로봇과 신나게 놀았어	훈.이.는|로.봇.과|신.나.게|놀.았.어
장난감을 꺼내 놓고 재미있게 놀았어	장.난.감.을|꺼.내|놓.고|재.미.있.게|놀.았.어
집안이 금방 엉망이 되었어	집.안.이|금.방|엉.망.이|되.었.어
예주야 이렇게 되면 될까 안 될	예.주.야|이.렇.게|되.면|될.까|안|될
응 강아지가 어떻게 했	응|강.아.지.가|어.떻.게|했
막 이렇게 어지럽혀 놨잖	막|이.렇.게|어.지.럽.혀|놨.잖
그	그
그래서 훈이 어떻게 됐	그.래.서|훈.이|어.떻.게|됐
화났	화.났
화났	화.났
예주도 화났	예.주.도|화.났
예주아 오늘은 요것만 읽고 우리 또 있다 아빠 오면 읽을	예.주.아|오.늘.은|요.것.만|읽.고|우.리|또|있.다|아.빠|오.면|읽.을
훈이랑 훈이 로보트한테 안녕 해	훈.이.랑|훈.이|로.보.트.한.테|안.녕|해
예주가 맘에 드는 	예.주.가|맘.에|드.는.|
응 그런 책 괜찮	응|그.런|책|괜.찮
할머니랑 재미나게 붙이면서 놀	할.머.니.랑|재.미.나.게|붙.이.면.서|놀
예빈아 조용	예.빈.아|조.용
예주 오늘은 어떤 책 읽을 거	예.주|오.늘.은|어.떤|책|읽.을|거
오늘은 이쁜 봄맞이 꽃에 대해서 배우겠	오.늘.은|이.쁜|봄.맞.이|꽃.에|대.해.서|배.우.겠
으	으
우선은 행운을 가져다 준데	우.선.은|행.운.을|가.져.다|준.데
꽃에 대해서 읽어줄 거에	꽃.에|대.해.서|읽.어.줄|거.에
숲 속에는 크고 화려한 꽃들이 많이 있었어	숲|속.에.는|크.고|화.려.한|꽃.들.이|많.이|있.었.어
다들 자기의 모습을 자랑하느라 야단이었	다.들|자.기.의|모.습.을|자.랑.하.느.라|야.단.이.었
나의 예쁜 모습 좀 봐 	나.의|예.쁜|모.습|좀|봐.|
나처럼 나팔모양으로 생긴 꽃은 없잖	나.처.럼|나.팔.모.양.으.로|생.긴|꽃.은|없.잖
활짝 핀 나팔꽃은 자기의 모습을 자랑하느라 신이 났아	활.짝|핀|나.팔.꽃.은|자.기.의|모.습.을|자.랑.하.느.라|신.이|났.아
예주야 이게 무슨 꽃이냐면 나팔	예.주.야|이.게|무.슨|꽃.이.냐.면|나.팔
나팔	나.팔
무슨 꽃이라	무.슨|꽃.이.라
내 모습도 좀 봐 	내|모.습.도|좀|봐.|
나처럼 키가 크고 화려한 꽃도 없을	나.처.럼|키.가|크.고|화.려.한|꽃.도|없.을
햇님도 날 좋아하잖	햇.님.도|날|좋.아.하.잖
나만 졸졸 따라다니면서 비추어주니 말이	나.만|졸.졸|따.라.다.니.면.서|비.추.어.주.니|말.이
노란 꽃잎을 가진 화려한 해바라기가 말했어	노.란|꽃.잎.을|가.진|화.려.한|해.바.라.기.가|말.했.어
어 이 친구는 해바라기인가	어|이|친.구.는|해.바.라.기.인.가
해바라	해.바.라
해바라	해.바.라
나처럼 우아한 모습의 꽃이 또 있을	나.처.럼|우.아.한|모.습.의|꽃.이|또|있.을
연못에 둥실 떠 있는 연꽃은 여왕같았어	연.못.에|둥.실|떠|있.는|연.꽃.은|여.왕.같.았.어
연	연
저기 엄마 먼저 읽고 하는 거	저.기|엄.마|먼.저|읽.고|하.는|거
저기 작고 초라하게 생긴 건 뭐	저.기|작.고|초.라.하.게|생.긴|건|뭐
잘난 체 하던 꽃들은 작고 초라한 모습의 토끼풀들을 보며 말했어	잘.난|체|하.던|꽃.들.은|작.고|초.라.한|모.습.의|토.끼.풀.들.을|보.며|말.했.어
이렇게 조그만 것들을 토끼풀이라고 하나	이.렇.게|조.그.만|것.들.을|토.끼.풀.이.라.고|하.나
예주 토끼 좋아하잖아 그	예.주|토.끼|좋.아.하.잖.아|그
응 토	응|토
토끼 닮아서 토끼풀일	토.끼|닮.아.서|토.끼.풀.일
나도 화려하고 이쁘면 좋을텐	나.도|화.려.하.고|이.쁘.면|좋.을.텐
토끼풀아 슬퍼하지	토.끼.풀.아|슬.퍼.하.지
저렇게 화려하게 보이는 꽃들도 언젠가 시들게 되어있	저.렇.게|화.려.하.게|보.이.는|꽃.들.도|언.젠.가|시.들.게|되.어.있
그래도 넌 항상 싱싱하잖	그.래.도|넌|항.상|싱.싱.하.잖
토끼풀이 슬퍼하자 은행나무가 말했어	토.끼.풀.이|슬.퍼.하.자|은.행.나.무.가|말.했.어
책 다 읽어야지 그거 붙이게 해줄 거	책|다|읽.어.야.지|그.거|붙.이.게|해.줄|거
어느날 숲 속의 아이들이 왔어	어.느.날|숲|속.의|아.이.들.이|왔.어
꽃들이 다 시들어서 하나도 안 예쁘	꽃.들.이|다|시.들.어.서|하.나.도|안|예.쁘
시간이 흐르자 은행나무의 말처럼 화려했던 꽃들은 보기 싫게 변했어	시.간.이|흐.르.자|은.행.나.무.의|말.처.럼|화.려.했.던|꽃.들.은|보.기|싫.게|변.했.어
이게 은행나무인가보	이.게|은.행.나.무.인.가.보
예주야 뭐	예.주.야|뭐
은행나무 은행나	은.행.나.무|은.행.나
은행나	은.행.나
오빠 저기 작고 귀여운 것은 뭐	오.빠|저.기|작.고|귀.여.운|것.은|뭐
응 토끼풀이	응|토.끼.풀.이
잎이 네 개인 토끼풀은 행운을 가져다 준	잎.이|네|개.인|토.끼.풀.은|행.운.을|가.져.다|준
우리 찾아보	우.리|찾.아.보
토끼풀은 그래서 환하게 웃었어	토.끼.풀.은|그.래.서|환.하.게|웃.었.어
예주야 네잎클로버를 토끼풀이라고 한	예.주.야|네.잎.클.로.버.를|토.끼.풀.이.라.고|한
잎이 네 개 있는 것은 행운을 가져다 준	잎.이|네|개|있.는|것.은|행.운.을|가.져.다|준
예주야 이 꽃은 뭘	예.주.야|이|꽃.은|뭘
카네이	카.네.이
카네이	카.네.이
이거 스승의 날에 어버이날에 꽃을 주는 것을 카네이션이라고 	이.거|스.승.의|날.에|어.버.이.날.에|꽃.을|주.는|것.을|카.네.이.션.이.라.고.|
어떤 낱말 갖다가 이름표 붙여줄 거	어.떤|낱.말|갖.다.가|이.름.표|붙.여.줄|거
이거 갖다 붙여줄 거	이.거|갖.다|붙.여.줄|거
이거 이름이 뭔	이.거|이.름.이|뭔
카네이	카.네.이
요즘에 활짝 하얗게 핀 목련이 많더	요.즘.에|활.짝|하.얗.게|핀|목.련.이|많.더
응 목	응|목
어떤 이름표 붙여줄 거	어.떤|이.름.표|붙.여.줄|거
그걸로 붙여줄 거	그.걸.로|붙.여.줄|거
자 목련을 보면 엄마는 예빈하고 예주가 떠오르더	자|목.련.을|보.면|엄.마.는|예.빈.하.고|예.주.가|떠.오.르.더
자 이건 사막에서 많이 피는 꽃 중의 하나	자|이.건|사.막.에.서|많.이|피.는|꽃|중.의|하.나
선인	선.인
예주 뭐라	예.주|뭐.라
선인	선.인
선인장은 어떤 걸까	선.인.장.은|어.떤|걸.까
이름표 찾아보세	이.름.표|찾.아.보.세
여기 있어	여.기|있.어
이건 뭐라고	이.건|뭐.라.고
