꼼 어딨니 꼼	꼼.어.딨.니.꼼
아기 원숭이	아.기.원.숭.이
얘는	얘.는
얘는	얘.는
함머니야	함.머.니.야
함머니 원숭이	함.머.니.원.숭.이
얘는	얘.는
하비코	하.비.코
하비라고	하.비.라.고
얘는	얘.는
으응 요건 뭐니 요거	으.응.요.건.뭐.니.요.거
요거는	요.거.는
얘 뭐니	얘.뭐.니
얘	얘
얘	얘
소야	소.야
말이지 이건	말.이.지.이.건
소야	소.야
치이	치.이
요건	요.건
응	응
코끼리	코.끼.리
코끼리 아저씨는 코가 손이래	코.끼.리.아.저.씨.는.코.가.손.이.래
과자를 주며는 코로 먹지요 	과.자.를.주.며.는.코.로.먹.지.요
다시 해 보까	다.시.해.보.까
코끼리 아저씨는 코가 손 	코.끼.리.아.저.씨.는.코.가.손
이래	이.래
과자를 주며는 코로 받지요	과.자.를.주.며.는.코.로.받.지.요
얘네 코끼리네 뭐하니	얘.네.코.끼.리.네.뭐.하.니
뻐해	뻐.해
으응	으.응
얘는 뭐하냐	얘.는.뭐.하.냐
해뚜	해.뚜
요건 누군데	요.건.누.군.데
저 아저씨 뭐하니	저.아.저.씨.뭐.하.니
꽁 갖고 쳤어	꽁.갖.고.쳤.어
으응	으.응
지원아 아까 할머니 가실 때 지원이 뭐라 그랬어	지.원.아.아.까.할.머.니.가.실.때.지.원.이.뭐.라.그.랬.어
응	응
울었어	울.었.어
언제 울었어	언.제.울.었.어
할머니 안녕 그러면서 지원이가 뭐라 그랬어	할.머.니.안.녕.그.러.면.서.지.원.이.가.뭐.라.그.랬.어
잘있쪄어 그랬지 너	잘.있.쪄.어.그.랬.지.너
응	응
야 얘 누구니 지원아	야.얘.누.구.니.지.원.아
야 	야
말좀해라 말좀	말.좀.해.라.말.좀
싫어	싫.어
지원아 책갖고와 우리 책좀 보자	지.원.아.책.갖.고.와.우.리.책.좀.보.자
아니면 만화 보면 텔레비 보면서 얘기좀 해	아.니.면.만.화.보.면.텔.레.비.보.면.서.얘.기.좀.해
녹음 되게	녹.음.되.게
응	응
엄마 커피 타 줄래요	엄.마.커.피.타.줄.래.요
자 보자	자.보.자
찐 아기 때 사진이야	찐.아.기.때.사.진.이.야
응	응
거 찐이 언제 거 누구야	거.찐.이.언.제.거.누.구.야
함머니 이뻐	함.머.니.이.뻐
이 할머니하고 찐 할머니하고 누가 더 이뻐	이.할.머.니.하.고.찐.할.머.니.하.고.누.가.더.이.뻐
응	응
오 할머니	오.할.머.니
똑까삐	똑.까.삐
똑까삐네 진짜	똑.까.삐.네.진.짜
얘 누구니	얘.누.구.니
얘	얘
아빠가 뭐하고 있어	아.빠.가.뭐.하.고.있.어
응	응
누굴 안었어	누.굴.안.었.어
얘 누구니	얘.누.구.니
얘 얘	얘.얘
누구 아기	누.구.아.기
찐 아기가 어디서 나왔어	찐.아.기.가.어.디.서.나.왔.어
누구 배속	누.구.배.속
누구 배속에서 나왔어	누.구.배.속.에.서.나.왔.어
엄마 배속에서 나왔지	엄.마.배.속.에.서.나.왔.지
그래서 나오자마자 뭐했다구	그.래.서.나.오.자.마.자.뭐.했.다.구
으 으 으했지	으.으.으.했.지
그날이 무슨 날이야	그.날.이.무.슨.날.이.야
생일	생.일
그래	그.래
생일날 뭐해	생.일.날.뭐.해
어 후해가지고 뭐 먹어	어.후.해.가.지.고.뭐.먹.어
응	응
뭐 먹어	뭐.먹.어
먹어	먹.어
천천히 보자	천.천.히.보.자
어 그거 뭐하는 거니	어.그.거.뭐.하.는.거.니
엄마가 응응해	엄.마.가.응.응.해
얘 누구니	얘.누.구.니
누구 아기	누.구.아.기
찐 아긴데 왜 이렇게 머리가 없어	찐.아.긴.데.왜.이.렇.게.머.리.가.없.어
머리가 없네 머리카락이	머.리.가.없.네.머.리.카.락.이
이상하네 왜 그랬을까	이.상.하.네.왜.그.랬.을.까
아퍼서 머리카락이 없어	아.퍼.서.머.리.카.락.이.없.어
으응 그랬어	으.응.그.랬.어
야 좀 하나씩 보자	야.좀.하.나.씩.보.자
어 찐 아기가 이거 이거 히한한 모자 썼네	어.찐.아.기.가.이.거.이.거.히.한.한.모.자.썼.네
이거 뭐니	이.거.뭐.니
응	응
지 사진이 왜 여기 와 있니 그치	지.사.진.이.왜.여.기.와.있.니.그.치
응	응
그냥 나둬	그.냥.나.둬
왜 빼	왜.빼
나둬	나.둬
거기다 낀다구	거.기.다.낀.다.구
그래 일단 빼 놓자	그.래.일.단.빼.놓.자
이따가 저거 보면 끼어 놓자	이.따.가.저.거.보.면.끼.어.놓.자
아유 찐 아기 귀엽네	아.유.찐.아.기.귀.엽.네
헤헤	헤.헤
얘 뭐한데	얘.뭐.한.데
야 작년만해도 엄마가 지금보다는 날씬한 거 같다	야.작.년.만.해.도.엄.마.가.지.금.보.다.는.날.씬.한.거.같.다
으응 엄마가 지원이 안았어	으.응.엄.마.가.지.원.이.안.았.어
으응	으.응
그래 엄마가 안으면 아프지	그.래.엄.마.가.안.으.면.아.프.지
어 진이가 지금 이거 뭐하니	어.진.이.가.지.금.이.거.뭐.하.니
빠나를 어떻게 하고 있어	빠.나.를.어.떻.게.하.고.있.어
요건 뭐야	요.건.뭐.야
응	응
아 이 사람 누구니	아.이.사.람.누.구.니
응	응
그럼 이 사람은	그.럼.이.사.람.은
아니 요거 요거	아.니.요.거.요.거
요거 지원이 옆에 있는 사람	요.거.지.원.이.옆.에.있.는.사.람
요건 찐이지	요.건.찐.이.지
요거는	요.거.는
요거는	요.거.는
음 요거는	음.요.거.는
철오빠	철.오.빠
그건 또 왜 글루 나와 버렸어	그.건.또.왜.글.루.나.와.버.렸.어
으응	으.응
야 말좀해 	야.말.좀.해
호호 얘 누구니	호.호.얘.누.구.니
응	응
누구니 재	누.구.니.재
응	응
째야	째.야
어 이거 뭐하는 거냐	어.이.거.뭐.하.는.거.냐
요거 뭐라 그래 지원아	요.거.뭐.라.그.래.지.원.아
요거 뭐야	요.거.뭐.야
요건 뭐니	요.건.뭐.니
엄마 앉었어	엄.마.앉.었.어
누구랑	누.구.랑
찐이가 어디 놀러갔니 이거	찐.이.가.어.디.놀.러.갔.니.이.거
재밌는데	재.밌.는.데
요거 찐이 같다	요.거.찐.이.같.다
뭐하는 거니	뭐.하.는.거.니
응	응
으응	으.응
야 찐이야 너 뭐 탔니	야.찐.이.야.너.뭐.탔.니
코끼리 코끼리	코.끼.리.코.끼.리
응 고기	응.고.기
응 그래	응.그.래
어어 거기 뭐	어.어.거.기.뭐
무슨 말인지 엄마 잘 못알아 듣겠다	무.슨.말.인.지.엄.마.잘.못.알.아.듣.겠.다
으응 그랬어	으.응.그.랬.어
응 그래	응.그.래
야 지원아 우리 까치책 볼까	야.지.원.아.우.리.까.치.책.볼.까
사진 볼래	사.진.볼.래
이걸 뭐라 그래	이.걸.뭐.라.그.래
싱이 아니라 사진	싱.이.아.니.라.사.진
사진	사.진
사진	사.진
야 지원아 이거 뭐니	야.지.원.아.이.거.뭐.니
응 다리	응.다.리
이거는	이.거.는
이거 요거는	이.거.요.거.는
이거는	이.거.는
어 이꼬까 어디서 많이 본 꼬까다	어.이.꼬.까.어.디.서.많.이.본.꼬.까.다
응	응
응	응
오오 이게 이거야	오.오.이.게.이.거.야
근데 요건 없네	근.데.요.건.없.네
요거 요거	요.거.요.거
요건 없는데	요.건.없.는.데
응 옷이 조금 달라졌네	응.옷.이.조.금.달.라.졌.네
으응	으.응
응	응
응	응
그랬어	그.랬.어
이날 진이 무슨 날이니	이.날.진.이.무.슨.날.이.니
도대체	도.대.체
응	응
오오 진이 생일날	오.오.진.이.생.일.날
그래서 이게 뭐니	그.래.서.이.게.뭐.니
수박	수.박
호빡이 아니라 수박	호.빡.이.아.니.라.수.박
그거 뭔데	그.거.뭔.데
응	응
빵	빵
떡 떡이야	떡.떡.이.야
요거 뭐	요.거.뭐
요거는	요.거.는
으응 생일 축하케익	으.응.생.일.축.하.케.익
어허 그래	어.허.그.래
요거 뭐니 요거	요.거.뭐.니.요.거
응 생일 떡	응.생.일.떡
요거는	요.거.는
후후 생일 축하 합니다	후.후.생.일.축.하.합.니.다
생일	생.일
지원이의 	지.원.이.의
생일을 축하합니다	생.일.을.축.하.합.니.다
아이고 잘하네	아.이.고.잘.하.네
생일날 뭐 야 이모도 왔었는데 이모 찾아보자	생.일.날.뭐.야.이.모.도.왔.었.는.데.이.모.찾.아.보.자
이모 어딨니	이.모.어.딨.니
오오 고깄구나 이모가	오.오.고.깄.구.나.이.모.가
찐이 돌날은 귀여웠네 모자 씌워놨더니	찐.이.돌.날.은.귀.여.웠.네.모.자.씌.워.놨.더.니
이거 뭐하는 거야	이.거.뭐.하.는.거.야
생일 축하	생.일.축.하
생일 토치	생.일.토.치
생일 축하	생.일.축.하
지원이는 저기	지.원.이.는.저.기
어 이건 뭐타니	어.이.건.뭐.타.니
응	응
뭐 타는 거야	뭐.타.는.거.야
말탔어	말.탔.어
누구랑	누.구.랑
으응	으.응
엄마가 지원이 말 태워줬구나	엄.마.가.지.원.이.말.태.워.줬.구.나
어우 좋겠네	어.우.좋.겠.네
헤헤헤	헤.헤.헤
말탄거 또 보고 싶어서	말.탄.거.또.보.고.싶.어.서
야 아빠더러 여기 데리고 데려다 달라고 그래	야.아.빠.더.러.여.기.데.리.고.데.려.다.달.라.고.그.래
응	응
응	응
이 때 누가 데리고 갔니 지원이를	이.때.누.가.데.리.고.갔.니.지.원.이.를
응	응
엄마랑 또 누가 갔어	엄.마.랑.또.누.가.갔.어
꼬까	꼬.까
꼬까 입고 갔어	꼬.까.입.고.갔.어
응	응
엄마랑 또 누구 갔니	엄.마.랑.또.누.구.갔.니
얘 누구니	얘.누.구.니
누구야	누.구.야
철오빠 아니지만 오빠야	철.오.빠.아.니.지.만.오.빠.야
그치	그.치
으응 이모네 오빠야 그치	으.응.이.모.네.오.빠.야.그.치
어이 지원이가 히한한 옷 입었네	어.이.지.원.이.가.히.한.한.옷.입.었.네
응	응
아이 또 봐 이거를	아.이.또.봐.이.거.를
지원이 이거 뭐니	지.원.이.이.거.뭐.니
응	응
요거는 뭐니	요.거.는.뭐.니
찬비	찬.비
야 이거 뭐 지원이 갖고 있는 거랑 비슷하게 생겼다	야.이.거.뭐.지.원.이.갖.고.있.는.거.랑.비.슷.하.게.생.겼.다
이거 뭐 같니	이.거.뭐.같.니
이거랑 비슷하게 생긴 거 갖고 와봐	이.거.랑.비.슷.하.게.생.긴.거.갖.고.와.봐
어	어
어허허허	어.허.허.허
야 지원아 그림책 갖고 와	야.지.원.아.그.림.책.갖.고.와
까치책	까.치.책
그거 보자	그.거.보.자
지원이 그거 갖고 잘 읽잖아	지.원.이.그.거.갖.고.잘.읽.잖.아
이거 볼래	이.거.볼.래
사진 볼래	사.진.볼.래
사진	사.진
사진해봐	사.진.해.봐
싱	싱
아이구 아직도 그렇게 발음이 안되냐	아.이.구.아.직.도.그.렇.게.발.음.이.안.되.냐
이건 뭐니 지원아	이.건.뭐.니.지.원.아
응	응
어 요건 뭐니	어.요.건.뭐.니
꽁이야	꽁.이.야
얘 누구니	얘.누.구.니
응	응
얘 누구니	얘.누.구.니
지원아	지.원.아
얘 누구니	얘.누.구.니
요전에 우리 집에 왔었니	요.전.에.우.리.집.에.왔.었.니
와서 뭐했니	와.서.뭐.했.니
뭐했어	뭐.했.어
응	응
얘 우리 집에 와서 뭐했니	얘.우.리.집.에.와.서.뭐.했.니
이거 꽝 깨 먹었지	이.거.꽝.깨.먹.었.지
그 오빠야	그.오.빠.야
그 오빠가 일년전에 이렇게 생겼었어	그.오.빠.가.일.년.전.에.이.렇.게.생.겼.었.어
저거 깼었지	저.거.깼.었.지
응 그래	응.그.래
어 찐이가 뭘 먹고 있니	어.찐.이.가.뭘.먹.고.있.니
까까 먹고 있다	까.까.먹.고.있.다
뭐	뭐
까까 먹었잖아	까.까.먹.었.잖.아
오 얘 누구니	오.얘.누.구.니
히히 지원이가 막 뛰어 간다	히.히.지.원.이.가.막.뛰.어.간.다
히히히 지원이 뭐하니 지금두	히.히.히.지.원.이.뭐.하.니.지.금.두
딴 거 보자	딴.거.보.자
까치 책 갖구 와봐	까.치.책.갖.구.와.봐
그럼 저거 갖구 와	그.럼.저.거.갖.구.와
그리구 이젠 사진 설명도 니가 해	그.리.구.이.젠.사.진.설.명.도.니.가.해
아이구 야 죽겠다	아.이.구.야.죽.겠.다
얘는 누가 있나 여기는	얘.는.누.가.있.나.여.기.는
찐이가 들어 있어 여기	찐.이.가.들.어.있.어.여.기
어유 요건 뭐 이쁘네	어.유.요.건.뭐.이.쁘.네
으응 찐이야	으.응.찐.이.야
요기부터 봐야지	요.기.부.터.봐.야.지
찐이 뭐하는데	찐.이.뭐.하.는.데
눈을 어떻게 하고 있어	눈.을.어.떻.게.하.고.있.어
응 아아하는 소리야	응.아.아.하.는.소.리.야
이거는 어떻하는 거야	이.거.는.어.떻.하.는.거.야
그러구 있어	그.러.구.있.어
이거는	이.거.는
됐어 됐어	됐.어.됐.어
더 이상 만져 봤자 사진만 찢어질 뿐이야	더.이.상.만.져.봤.자.사.진.만.찢.어.질.뿐.이.야
또 하나 또 딴 책 보자	또.하.나.또.딴.책.보.자
또 딴 사진 보자	또.딴.사.진.보.자
갖고 와	갖.고.와
갖고 와봐	갖.고.와.봐
아 까치책 갖고 와봐	아.까.치.책.갖.고.와.봐
손	손
손이 뭔데	손.이.뭔.데
여기 부터 봐야지 천천히	여.기.부.터.봐.야.지.천.천.히
지원이 이거 어제 탔냐	지.원.이.이.거.어.제.탔.냐
누구랑	누.구.랑
응	응
그래 어제 시이소 탔지	그.래.어.제.시.이.소.탔.지
이건 시이소라 그래 시이소	이.건.시.이.소.라.그.래.시.이.소
시이소 시이소	시.이.소.시.이.소
시호	시.호
진이가 뭘 이렇게 많이 들고 있니	진.이.가.뭘.이.렇.게.많.이.들.고.있.니
응	응
0	0
지원아 까치책 갖구 와봐	지.원.아.까.치.책.갖.구.와.봐
응	응
어서 나왔어	어.서.나.왔.어
할아버지 찾아봐	할.아.버.지.찾.아.봐
할아버지 이쁘니 지원아	할.아.버.지.이.쁘.니.지.원.아
이뻐	이.뻐
그래요오	그.래.요.오
그 사진 어쨌어	그.사.진.어.쨌.어
여기다 껴 놨어	여.기.다.껴.놨.어
거기 끼는 거 아닌데	거.기.끼.는.거.아.닌.데
어 어디서 또 튀어 나왔어	어.어.디.서.또.튀.어.나.왔.어
어디서 또 뺐어	어.디.서.또.뺐.어
니가 하도 앨범을 갖다 찢어 놔가지고서는 사진이 막 왔다 갔다하네	니.가.하.도.앨.범.을.갖.다.찢.어.놔.가.지.고.서.는.사.진.이.막.왔.다.갔.다.하.네
철아빠	철.아.빠
응	응
이 사람은	이.사.람.은
이 사람은	이.사.람.은
이 때 부터 엄마가 얼굴이 뚱순이가 되기 시작했구만 그래	이.때.부.터.엄.마.가.얼.굴.이.뚱.순.이.가.되.기.시.작.했.구.만.그.래
아이구 걱정이네	아.이.구.걱.정.이.네
지원이가 뭐하니	지.원.이.가.뭐.하.니
응 까까를 지지 묻혀놨어	응.까.까.를.지.지.묻.혀.놨.어
아이 이건 뭐니	아.이.이.건.뭐.니
어 꽃이 이만촘 있어	어.꽃.이.이.만.촘.있.어
뭐하니 얘	뭐.하.니.얘
얘 뭐하는 거야	얘.뭐.하.는.거.야
야 지원이가 뭐 턱 내밀었네	야.지.원.이.가.뭐.턱.내.밀.었.네
으응	으.응
이땐 머리도 많이 길었네	이.땐.머.리.도.많.이.길.었.네
요 요건 뭐하는 거야	요.요.건.뭐.하.는.거.야
지원이	지.원.이
물고기 해가지고 어떻게 했어	물.고.기.해.가.지.고.어.떻.게.했.어
오오 그렇게 절했어	오.오.그.렇.게.절.했.어
물고기 풀어 주구	물.고.기.풀.어.주.구
누구랑 했어	누.구.랑.했.어
할머니랑	할.머.니.랑
어어 할머니가 어떻게 했어	어.어.할.머.니.가.어.떻.게.했.어
해봐	해.봐
어어유 그렇게 절했어	어.어.유.그.렇.게.절.했.어
어어유	어.어.유
어어 찐이도 했어	어.어.찐.이.도.했.어
히히히	히.히.히
할머니	할.머.니
거기 어디 할머니가 있어	거.기.어.디.할.머.니.가.있.어
으응 엄마는	으.응.엄.마.는
앉어 있어	앉.어.있.어
엄마는 앉어 있구	엄.마.는.앉.어.있.구
찐이는 뭐하고 있어	찐.이.는.뭐.하.고.있.어
뭘 주세요	뭘.주.세.요
꼼	꼼
꼼 있다 주께	꼼.있.다.주.께
찐이 이때는 잘 걸어 다녔네	찐.이.이.때.는.잘.걸.어.다.녔.네
업어달라구 그러지도 않았네	업.어.달.라.구.그.러.지.도.않.았.네
봐 이렇게 곰 들고 막 걸 어 다녔잖아	봐.이.렇.게.곰.들.고.막.걸.어.다.녔.잖.아
근데 왜 이렇게 뛰어 다니냐	근.데.왜.이.렇.게.뛰.어.다.니.냐
어이구 이렇게 잘 뛰어 다니는데 너 왜 요샌 자꾸 안으라 그러니	어.이.구.이.렇.게.잘.뛰.어.다.니.는.데.너.왜.요.샌.자.꾸.안.으.라.그.러.니
그럼 안되지	그.럼.안.되.지
오오 아기가 어떻게 했어	오.오.아.기.가.어.떻.게.했.어
찐이를 탁 해가지고 찐이가 울었어	찐.이.를.탁.해.가.지.고.찐.이.가.울.었.어
아이고 바보같애라	아.이.고.바.보.같.애.라
아기가 탕 했다고 울었어	아.기.가.탕.했.다.고.울.었.어
엄마 얼굴좀 봐야지	엄.마.얼.굴.좀.봐.야.지
왜 이렇게 정말 보리떡같이 됬니	왜.이.렇.게.정.말.보.리.떡.같.이.됬.니
응 까까 이만촘 했어	응.까.까.이.만.촘.했.어
응 먹었어	응.먹.었.어
오오 아빠 엄마 찐해 가지고 배 탔어	오.오.아.빠.엄.마.찐.해.가.지.고.배.탔.어
아이고 잘아네	아.이.고.잘.아.네
배 어디서 탔어	배.어.디.서.탔.어
어어 거 가서어	어.어.거.가.서.어
으응	으.응
저 아빠 찐이랑 엄마랑 뭐하니	저.아.빠.찐.이.랑.엄.마.랑.뭐.하.니
으응 먹고 있어	으.응.먹.고.있.어
왜 패했어	왜.패.했.어
엄마는 패 안하는데	엄.마.는.패.안.하.는.데
으응 그랬어	으.응.그.랬.어
여기 사진이 하나 없어졌네	여.기.사.진.이.하.나.없.어.졌.네
또 지원이가 빼놨겠군	또.지.원.이.가.빼.놨.겠.군
여기도 또 하나 없네	여.기.도.또.하.나.없.네
찐이 뭐 탔어	찐.이.뭐.탔.어
으응 기차 탔지	으.응.기.차.탔.지
으응 아빠랑 	으.응.아.빠.랑
어어 찐이 말 탔어	어.어.찐.이.말.탔.어
으응 찐이 이거 아이유 뭐 옆에 앉어 있냐	으.응.찐.이.이.거.아.이.유.뭐.옆.에.앉.어.있.냐
응 똑같애 옷이네	응.똑.같.애.옷.이.네
으응 찐이 이거 뭐하니	으.응.찐.이.이.거.뭐.하.니
아 추워	아.추.워
아 추워	아.추.워
아 얘는 누구니	아.얘.는.누.구.니
오빠야	오.빠.야
아이고 지원이 좋아하는 거 봐라	아.이.고.지.원.이.좋.아.하.는.거.봐.라
어디	어.디
아아 진짜 정말 토치까까 잘도 봤네	아.아.진.짜.정.말.토.치.까.까.잘.도.봤.네
응 토치 까까 또 있다	응.토.치.까.까.또.있.다
으응 토치 또 있다	으.응.토.치.또.있.다
이거 사진 인제야 나왔다	이.거.사.진.인.제.야.나.왔.다
야 얘 뭐하니	야.얘.뭐.하.니
어 	어
그래서	그.래.서
어디 그러고 있어	어.디.그.러.고.있.어
으응 그랬	으.응.그.랬
아아 엄마가 사진 찍어 줬다구	아.아.엄.마.가.사.진.찍.어.줬.다.구
그래 맞어	그.래.맞.어
으응 니 소리 인제야 알아 들었네 엄마가	으.응.니.소.리.인.제.야.알.아.들.었.네.엄.마.가
엄마가 지원이가 인형 이렇게 나라비 해 놓니까 엄마가 사진으로 찍어 줬지	엄.마.가.지.원.이.가.인.형.이.렇.게.나.라.비.해.놓.니.까.엄.마.가.사.진.으.로.찍.어.줬.지
여기 또 사진 하나 없어졌네	여.기.또.사.진.하.나.없.어.졌.네
오 얘 얘 지금 뭐하니	오.얘.얘.지.금.뭐.하.니
심술났어	심.술.났.어
응	응
아 이거는 왜 또 빼니	아.이.거.는.왜.또.빼.니
응	응
아이 거기 넣는 거 아냐 요기 넣어	아.이.거.기.넣.는.거.아.냐.요.기.넣.어
이건 찐이가 뭐를 넣니	이.건.찐.이.가.뭐.를.넣.니
꼬까	꼬.까
축하 	축.하
응 합니다	응.합.니.다
다시 한번 해봐	다.시.한.번.해.봐
새앵일 	새.앵.일
합니다	합.니.다
그 다음에 인제 지원이 책 보자	그.다.음.에.인.제.지.원.이.책.보.자
사진 다 봤으니까	사.진.다.봤.으.니.까
어 너 앨범 위에 앉아서 앨범이 다 짜부라지구 있잖니	어.너.앨.범.위.에.앉.아.서.앨.범.이.다.짜.부.라.지.구.있.잖.니
야 지원아	야.지.원.아
엄마는 인제 진짜 굶어야 겠다	엄.마.는.인.제.진.짜.굶.어.야.겠.다
책 갖고 오세요	책.갖.고.오.세.요
0	0
이모가 화내겠다	이.모.가.화.내.겠.다
녹음한대 놓고 말은 나오지도 않고 무슨 멍충인 것만 나온다고	녹.음.한.대.놓.고.말.은.나.오.지.도.않.고.무.슨.멍.충.인.것.만.나.온.다.고
응	응
아고고고 다 찢어진다	아.고.고.고.다.찢.어.진.다
됐다 됐다	됐.다.됐.다
야 이때 엄마 얼굴좀 자세히 보지	야.이.때.엄.마.얼.굴.좀.자.세.히.보.지
이 때는 확실히 안 쪘었네	이.때.는.확.실.히.안.쪘.었.네
열심히 다이어트를 해야겠네	열.심.히.다.이.어.트.를.해.야.겠.네
가만히 있어봐 지원아	가.만.히.있.어.봐.지.원.아
아퍼	아.퍼
어 엄마가 눈 찔렀어	어.엄.마.가.눈.찔.렀.어
아이고 엄마가 이거 나쁜 엄마네 이거	아.이.고.엄.마.가.이.거.나.쁜.엄.마.네.이.거
짠 이쪽이지	짠.이.쪽.이.지
맞지	맞.지
자 인제 책 갖고 와	자.인.제.책.갖.고.와
자 까치 책이 보자	자.까.치.책.이.보.자
어느게 더 크니	어.느.게.더.크.니
응	응
또 여기서 큰 거 골라 봐	또.여.기.서.큰.거.골.라.봐
으응 아빠 께 큰 거지	으.응.아.빠.께.큰.거.지
큰 거 골라 봐	큰.거.골.라.봐
그래	그.래
작은 거	작.은.거
옳지	옳.지
또 여기서 큰 거 골라 봐	또.여.기.서.큰.거.골.라.봐
그게 커	그.게.커
어느 게 작어	어.느.게.작.어
그게 큰 거지	그.게.큰.거.지
이만촘 있는 게 큰 거야	이.만.촘.있.는.게.큰.거.야
응	응
그럼 이중에서 어느 게 커	그.럼.이.중.에.서.어.느.게.커
응	응
으응	으.응
여기 여기 요 사람하고 요 사람하고 누가 더 커	여.기.여.기.요.사.람.하.고.요.사.람.하.고.누.가.더.커
누가 커	누.가.커
아기가 커	아.기.가.커
조금씩 먹어야지	조.금.씩.먹.어.야.지
어 지원아 이거 토치잖아	어.지.원.아.이.거.토.치.잖.아
토치가 한개 두개 있어	토.치.가.한.개.두.개.있.어
거기다 하나를 더 더하면 몇개 있니	거.기.다.하.나.를.더.더.하.면.몇.개.있.니
세어 봐	세.어.봐
하나 둘 셋	하.나.둘.셋
세개가 있네	세.개.가.있.네
끼가 몇개 있어	끼.가.몇.개.있.어
아이 셔	아.이.셔
응	응
으응 까서 먹는 거지	으.응.까.서.먹.는.거.지
사탕	사.탕
사탕	사.탕
사탕이 섀콤이야	사.탕.이.섀.콤.이.야
하하 사탕	하.하.사.탕
어 어 딱	어.어.딱
염소 소리 났네	염.소.소.리.났.네
까치책 보자	까.치.책.보.자
그럼 무슨 책이 볼래	그.럼.무.슨.책.이.볼.래
이거 뭐야	이.거.뭐.야
이거 빨래 걸때 쓰는 거지	이.거.빨.래.걸.때.쓰.는.거.지
아아 거기 가서 그거 만지지 마세요	아.아.거.기.가.서.그.거.만.지.지.마.세.요
응	응
엄마 맘마 다 먹고 나서 먹자	엄.마.맘.마.다.먹.고.나.서.먹.자
찐이 저기 까치 이뻐	찐.이.저.기.까.치.이.뻐
까치 어디가 이뻐	까.치.어.디.가.이.뻐
까치가 얼굴이 이뻐	까.치.가.얼.굴.이.이.뻐
우우 호호호	우.우.호.호.호
어어 	어.어
어이구 까치가 그렇게 이뻐	어.이.구.까.치.가.그.렇.게.이.뻐
그러면 사자는	그.러.면.사.자.는
어어 그래	어.어.그.래
그럼 한번 우리 동물 친구들 보자	그.럼.한.번.우.리.동.물.친.구.들.보.자
얘 누구니	얘.누.구.니
에옹이야	에.옹.이.야
호랑이같은데	호.랑.이.같.은.데
어흥 같은데	어.흥.같.은.데
얘는	얘.는
으응 얘는	으.응.얘.는
얘는	얘.는
그거는 모르겠지	그.거.는.모.르.겠.지
캥거루	캥.거.루
그럼 요거는	그.럼.요.거.는
코끼리	코.끼.리
말이 안돼	말.이.안.돼
코끼리해봐	코.끼.리.해.봐
아이고 아이고	아.이.고.아.이.고
얘는 누구야	얘.는.누.구.야
코뿔소 해봐	코.뿔.소.해.봐
코뿔소	코.뿔.소
찐아 얘는 또 누구니	찐.아.얘.는.또.누.구.니
얘	얘
얘는 누구겠니	얘.는.누.구.겠.니
얘	얘
박쥐	박.쥐
코끼리	코.끼.리
그래	그.래
그러며는 집에서 길러요	그.러.며.는.집.에.서.길.러.요
얘 누구니	얘.누.구.니
뭐	뭐
허허	허.허
사자를 집에서 길러	사.자.를.집.에.서.길.러
다시 잘 봐 얘 누구니	다.시.잘.봐.얘.누.구.니
소	소
얘는	얘.는
응	응
얘는 누구야	얘.는.누.구.야
그래	그.래
아이구 잘하네	아.이.구.잘.하.네
얘는	얘.는
아이 지원이 기분이 좋구나	아.이.지.원.이.기.분.이.좋.구.나
먹기 싫어	먹.기.싫.어
그럼 먹지 마	그.럼.먹.지.마
얘 누구야	얘.누.구.야
에이구	에.이.구
얘는	얘.는
얘 누구니	얘.누.구.니
얘 이쁘게 생겼다 눈도 살며시 감았네	얘.이.쁘.게.생.겼.다.눈.도.살.며.시.감.았.네
응	응
얘는	얘.는
옳지	옳.지
얘는 예옹 얘는 으흥이지	얘.는.예.옹.얘.는.으.흥.이.지
이제 알겠지	이.제.알.겠.지
그럼 우리 집에 있는 거는 뭐야	그.럼.우.리.집.에.있.는.거.는.뭐.야
우리 집에 그림은	우.리.집.에.그.림.은
저거 으흥이니 에옹이니	저.거.으.흥.이.니.에.옹.이.니
저거 뭐니	저.거.뭐.니
응	응
어어 그래	어.어.그.래
얘는 누구니	얘.는.누.구.니
응 꼬꼬댁이지	응.꼬.꼬.댁.이.지
어	어
그럼 얘는	그.럼.얘.는
어	어
야 뭐하는 거야 이거	야.뭐.하.는.거.야.이.거
아이 엄마한테다 닦는 애가 어디 있어	아.이.엄.마.한.테.다.닦.는.애.가.어.디.있.어
얘는 누구야	얘.는.누.구.야
토치	토.치
얘는	얘.는
멍멍이	멍.멍.이
얘는	얘.는
얜 염소야	얜.염.소.야
말같이 생겼지만	말.같.이.생.겼.지.만
염소	염.소
그래 말이라고 해 두자	그.래.말.이.라.고.해.두.자
말같이 생겼다	말.같.이.생.겼.다
얘는	얘.는
새야	새.야
칠면조	칠.면.조
얘는	얘.는
얘	얘
얘 꼬꼬댁같애	얘.꼬.꼬.댁.같.애
그래	그.래
얘는	얘.는
꿀꿀이	꿀.꿀.이
얘는	얘.는
얘는 누구야	얘.는.누.구.야
엄마	엄.마
에이구 오리	에.이.구.오.리
암마	암.마
암맘맘마	암.맘.맘.마
그 뒤에 보자	그.뒤.에.보.자
얘 누구니	얘.누.구.니
오오 그래	오.오.그.래
아이구 얘는	아.이.구.얘.는
응	응
어디	어.디
아빠 꼼 또 어딨어	아.빠.꼼.또.어.딨.어
